
                             _RF:RF1 PI: FOUND
                  X            ATION-1 N: 61  

                0.                -0.         
               10.E-03            -4.0521E+03 
               20.E-03            -8.10416E+03
               35.E-03           -14.1822E+03 
               57.5E-03          -23.2991E+03 
               87.5E-03          -35.4547E+03 
              117.5E-03          -47.6099E+03 
              147.5E-03          -59.7646E+03 
              177.5E-03          -71.9188E+03 
              207.5E-03          -84.0724E+03 
              237.5E-03          -96.2254E+03 
              267.5E-03         -108.378E+03  
              297.5E-03         -120.529E+03  
              327.5E-03         -132.68E+03   
              357.5E-03         -144.83E+03   
              387.5E-03         -156.978E+03  
              417.5E-03         -169.126E+03  
              447.5E-03         -181.273E+03  
              477.5E-03         -193.418E+03  
              507.5E-03         -205.563E+03  
              537.5E-03         -217.706E+03  
              567.5E-03         -229.848E+03  
              597.5E-03         -241.988E+03  
              627.5E-03         -254.127E+03  
              657.5E-03         -266.264E+03  
              687.5E-03         -278.4E+03    
              717.5E-03         -290.535E+03  
              747.5E-03         -302.667E+03  
              777.5E-03         -314.798E+03  
              807.5E-03         -326.927E+03  
              837.5E-03         -339.053E+03  
              867.5E-03         -351.178E+03  
              897.5E-03         -363.301E+03  
              927.5E-03         -375.422E+03  
              957.5E-03         -387.541E+03  
              987.5E-03         -399.657E+03  
                1.0175          -411.771E+03  
                1.0475          -423.882E+03  
                1.0775          -435.992E+03  
                1.1075          -448.098E+03  
                1.1375          -460.202E+03  
                1.1675          -472.303E+03  
                1.1975          -484.402E+03  
                1.2275          -496.497E+03  
                1.2575          -508.59E+03   
                1.2875          -520.68E+03   
                1.3175          -532.766E+03  
                1.3475          -544.846E+03  
                1.3775          -556.917E+03  
                1.4075          -568.977E+03  
                1.4375          -581.034E+03  
                1.4675          -593.078E+03  
                1.4975          -605.11E+03   
                1.5275          -617.103E+03  
                1.5575          -629.06E+03   
                1.5875          -640.979E+03  
                1.6175          -652.83E+03   
                1.6475          -664.623E+03  
                1.6775          -676.375E+03  
                1.7075          -688.045E+03  
                1.7375          -699.613E+03  
                1.7675          -710.98E+03   
                1.7975          -722.059E+03  
                1.8275          -732.746E+03  
                1.8575          -743.185E+03  
                1.8875          -753.356E+03  
                1.9175          -762.909E+03  
                1.9475          -772.109E+03  
                1.9775          -780.978E+03  
                2.0075          -789.392E+03  
                2.0375          -797.132E+03  
                2.0675          -804.267E+03  
                2.0975          -810.954E+03  
                2.1275          -816.974E+03  
                2.1575          -821.839E+03  
                2.1875          -825.745E+03  
                2.2175          -828.767E+03  
                2.2475          -831.35E+03   
                2.2775          -833.551E+03  
                2.3075          -834.927E+03  
                2.3375          -835.819E+03  
                2.3675          -836.222E+03  
                2.3975          -836.058E+03  
                2.4275          -835.404E+03  
                2.4575          -833.904E+03  
                2.4875          -831.391E+03  
                2.5175          -828.112E+03  
                2.5475          -823.821E+03  
                2.5775          -818.403E+03  
                2.6075          -810.719E+03  
                2.6375          -801.959E+03  
                2.6675          -792.892E+03  
                2.6975          -784.748E+03  
                2.7275          -777.745E+03  
                2.7575          -771.412E+03  
                2.7875          -765.67E+03   
                2.8175          -760.126E+03  
                2.8475          -754.563E+03  
                2.8775          -749.301E+03  
                2.9075          -744.386E+03  
                2.9375          -739.651E+03  
                2.9675          -734.942E+03  
                2.9975          -730.599E+03  
                3.0275          -726.282E+03  
                3.0575          -722.073E+03  
                3.0875          -718.214E+03  
                3.1175          -714.578E+03  
                3.1475          -711.017E+03  
                3.1775          -707.586E+03  
                3.2075          -704.106E+03  
                3.2375          -700.707E+03  
                3.2675          -697.328E+03  
                3.2975          -694.006E+03  
                3.3275          -690.844E+03  
                3.3575          -687.654E+03  
                3.3875          -684.575E+03  
                3.4175          -681.572E+03  
                3.4475          -678.561E+03  
                3.4775          -675.705E+03  
                3.5075          -672.915E+03  
                3.5375          -670.175E+03  
                3.5675          -667.388E+03  
                3.5975          -664.655E+03  
                3.6275          -661.832E+03  
                3.6575          -658.868E+03  
                3.6875          -655.878E+03  
                3.7175          -652.862E+03  
                3.7475          -649.831E+03  
                3.7775          -646.779E+03  
                3.8075          -643.691E+03  
                3.8375          -640.585E+03  
                3.8675          -637.457E+03  
                3.8975          -634.325E+03  
                3.9275          -631.195E+03  
                3.9575          -628.054E+03  
                3.9875          -624.92E+03   




