
                             _U:U1 PI: TWR-1 N
                  X                : 9_1      

                0.                 0.         
               10.E-03             9.54315E-03
               20.E-03            19.0862E-03 
               35.E-03            33.4008E-03 
               57.5E-03           54.8725E-03 
               87.5E-03           83.5011E-03 
              117.5E-03          112.129E-03  
              147.5E-03          140.757E-03  
              177.5E-03          169.385E-03  
              207.5E-03          198.013E-03  
              237.5E-03          226.64E-03   
              267.5E-03          255.268E-03  
              297.5E-03          283.895E-03  
              327.5E-03          312.522E-03  
              357.5E-03          341.149E-03  
              387.5E-03          369.777E-03  
              417.5E-03          398.404E-03  
              447.5E-03          427.031E-03  
              477.5E-03          455.659E-03  
              507.5E-03          484.287E-03  
              537.5E-03          512.915E-03  
              567.5E-03          541.543E-03  
              597.5E-03          570.171E-03  
              627.5E-03          598.8E-03    
              657.5E-03          627.43E-03   
              687.5E-03          656.059E-03  
              717.5E-03          684.69E-03   
              747.5E-03          713.32E-03   
              777.5E-03          741.952E-03  
              807.5E-03          770.583E-03  
              837.5E-03          799.216E-03  
              867.5E-03          827.849E-03  
              897.5E-03          856.483E-03  
              927.5E-03          885.118E-03  
              957.5E-03          913.753E-03  
              987.5E-03          942.389E-03  
                1.0175           971.027E-03  
                1.0475           999.665E-03  
                1.0775             1.0283     
                1.1075             1.05694    
                1.1375             1.08559    
                1.1675             1.11423    
                1.1975             1.14287    
                1.2275             1.17152    
                1.2575             1.20016    
                1.2875             1.22881    
                1.3175             1.25746    
                1.3475             1.28611    
                1.3775             1.31476    
                1.4075             1.34342    
                1.4375             1.37208    
                1.4675             1.40074    
                1.4975             1.4294     
                1.5275             1.45807    
                1.5575             1.48675    
                1.5875             1.51545    
                1.6175             1.54416    
                1.6475             1.57288    
                1.6775             1.6016     
                1.7075             1.63036    
                1.7375             1.65914    
                1.7675             1.68794    
                1.7975             1.71678    
                1.8275             1.74562    
                1.8575             1.77448    
                1.8875             1.80338    
                1.9175             1.83233    
                1.9475             1.86128    
                1.9775             1.89029    
                2.0075             1.91933    
                2.0375             1.94833    
                2.0675             1.97732    
                2.0975             2.00632    
                2.1275             2.03529    
                2.1575             2.06413    
                2.1875             2.0929     
                2.2175             2.12167    
                2.2475             2.15053    
                2.2775             2.17937    
                2.3075             2.20818    
                2.3375             2.23698    
                2.3675             2.26579    
                2.3975             2.29458    
                2.4275             2.32336    
                2.4575             2.35209    
                2.4875             2.38072    
                2.5175             2.40929    
                2.5475             2.43781    
                2.5775             2.46625    
                2.6075             2.49456    
                2.6375             2.52282    
                2.6675             2.55109    
                2.6975             2.57949    
                2.7275             2.60801    
                2.7575             2.6366     
                2.7875             2.66525    
                2.8175             2.69394    
                2.8475             2.72265    
                2.8775             2.75139    
                2.9075             2.78016    
                2.9375             2.80896    
                2.9675             2.83777    
                2.9975             2.86661    
                3.0275             2.89546    
                3.0575             2.92432    
                3.0875             2.9532     
                3.1175             2.9821     
                3.1475             3.01103    
                3.1775             3.03996    
                3.2075             3.06892    
                3.2375             3.0979     
                3.2675             3.1269     
                3.2975             3.15591    
                3.3275             3.18494    
                3.3575             3.21398    
                3.3875             3.24303    
                3.4175             3.2721     
                3.4475             3.30116    
                3.4775             3.33023    
                3.5075             3.35931    
                3.5375             3.38838    
                3.5675             3.41747    
                3.5975             3.44656    
                3.6275             3.47564    
                3.6575             3.50471    
                3.6875             3.53378    
                3.7175             3.56284    
                3.7475             3.59191    
                3.7775             3.62097    
                3.8075             3.65002    
                3.8375             3.67908    
                3.8675             3.70812    
                3.8975             3.73715    
                3.9275             3.76619    
                3.9575             3.79522    
                3.9875             3.82424    




