
                             _U:U1 PI: ASSEMBL
                  X                Y N: 1     

                0.                 0.         
               10.E-03            10.E-03     
               20.E-03            20.E-03     
               35.E-03            35.E-03     
               55.E-03            55.E-03     
               75.E-03            75.E-03     
               95.E-03            94.9999E-03 
              115.E-03           115.E-03     
              135.E-03           135.E-03     
              155.E-03           155.E-03     
              175.E-03           175.E-03     
              195.E-03           195.E-03     
              215.E-03           214.999E-03  
              235.E-03           234.999E-03  
              255.E-03           254.999E-03  
              275.E-03           274.999E-03  
              295.E-03           294.998E-03  
              315.E-03           314.998E-03  
              335.E-03           334.998E-03  
              355.E-03           354.997E-03  
              375.E-03           374.997E-03  
              395.E-03           394.996E-03  
              415.E-03           414.996E-03  
              435.E-03           434.996E-03  
              455.E-03           455.032E-03  
              475.E-03           475.137E-03  
              495.E-03           495.379E-03  
              515.E-03           515.871E-03  
              535.E-03           536.783E-03  
              555.E-03           557.758E-03  
              575.E-03           578.868E-03  
              595.E-03           600.032E-03  
              615.E-03           621.246E-03  
              635.E-03           643.168E-03  
              655.E-03           665.625E-03  
              675.E-03           688.275E-03  
              695.E-03           711.097E-03  
              715.E-03           733.944E-03  
              735.E-03           756.796E-03  
              755.E-03           779.663E-03  
              775.E-03           802.534E-03  
              795.E-03           825.406E-03  
              815.E-03           848.276E-03  
              835.E-03           871.147E-03  
              855.E-03           894.017E-03  
              875.E-03           916.886E-03  
              895.E-03           939.755E-03  
              915.E-03           962.623E-03  
              935.E-03           985.491E-03  
              955.E-03             1.00836    




