
                             _RF:RF1 PI: FOUND
                  X           ATION-1 N: 61_1 

                0.                -0.         
               10.E-03            -4.0521E+03 
               20.E-03            -8.10416E+03
               35.E-03           -14.1822E+03 
               57.5E-03          -23.2991E+03 
               87.5E-03          -35.4547E+03 
              117.5E-03          -47.6099E+03 
              147.5E-03          -59.7646E+03 
              177.5E-03          -71.9188E+03 
              207.5E-03          -84.0724E+03 
              237.5E-03          -96.2254E+03 
              267.5E-03         -108.378E+03  
              297.5E-03         -120.529E+03  
              327.5E-03         -132.68E+03   
              357.5E-03         -144.83E+03   
              387.5E-03         -156.978E+03  
              417.5E-03         -169.126E+03  
              447.5E-03         -181.273E+03  
              477.5E-03         -193.418E+03  
              507.5E-03         -205.563E+03  
              537.5E-03         -217.706E+03  
              567.5E-03         -229.848E+03  
              597.5E-03         -241.988E+03  
              627.5E-03         -254.127E+03  
              657.5E-03         -266.264E+03  
              687.5E-03         -278.4E+03    
              717.5E-03         -290.535E+03  
              747.5E-03         -302.667E+03  
              777.5E-03         -314.798E+03  
              807.5E-03         -326.927E+03  
              837.5E-03         -339.053E+03  
              867.5E-03         -351.178E+03  
              897.5E-03         -363.301E+03  
              927.5E-03         -375.422E+03  
              957.5E-03         -387.541E+03  
              987.5E-03         -399.657E+03  
                1.0175          -411.771E+03  
                1.0475          -423.882E+03  
                1.0775          -435.992E+03  
                1.1075          -448.098E+03  
                1.1375          -460.202E+03  
                1.1675          -472.303E+03  
                1.1975          -484.402E+03  
                1.2275          -496.497E+03  
                1.2575          -508.59E+03   
                1.2875          -520.68E+03   
                1.3175          -532.766E+03  
                1.3475          -544.85E+03   
                1.3775          -556.93E+03   
                1.4075          -569.007E+03  
                1.4375          -581.08E+03   
                1.4675          -593.15E+03   
                1.4975          -605.217E+03  
                1.5275          -617.279E+03  
                1.5575          -629.338E+03  
                1.5875          -641.394E+03  
                1.6175          -653.445E+03  
                1.6475          -665.492E+03  
                1.6775          -677.535E+03  
                1.7075          -689.575E+03  
                1.7375          -701.609E+03  
                1.7675          -713.64E+03   
                1.7975          -725.666E+03  
                1.8275          -737.687E+03  
                1.8575          -749.704E+03  
                1.8875          -761.714E+03  
                1.9175          -773.714E+03  
                1.9475          -785.698E+03  
                1.9775          -797.677E+03  
                2.0075          -809.649E+03  
                2.0375          -821.613E+03  
                2.0675          -833.565E+03  
                2.0975          -845.51E+03   
                2.1275          -857.433E+03  
                2.1575          -869.316E+03  
                2.1875          -881.146E+03  
                2.2175          -892.948E+03  
                2.2475          -904.725E+03  
                2.2775          -916.446E+03  
                2.3075          -928.103E+03  
                2.3375          -939.73E+03   
                2.3675          -951.297E+03  
                2.3975          -962.775E+03  
                2.4275          -974.202E+03  
                2.4575          -985.531E+03  
                2.4875          -996.67E+03   
                2.5175            -1.00761E+06
                2.5475            -1.01838E+06
                2.5775            -1.02881E+06
                2.6075            -1.03888E+06
                2.6375            -1.04881E+06
                2.6675            -1.05842E+06
                2.6975            -1.06775E+06
                2.7275            -1.07669E+06
                2.7575            -1.08523E+06
                2.7875            -1.09355E+06
                2.8175            -1.10148E+06
                2.8475            -1.10895E+06
                2.8775            -1.11586E+06
                2.9075            -1.12223E+06
                2.9375            -1.1281E+06 
                2.9675            -1.13352E+06
                2.9975            -1.13807E+06
                3.0275            -1.14055E+06
                3.0575            -1.14098E+06
                3.0875            -1.13902E+06
                3.1175            -1.13532E+06
                3.1475            -1.12891E+06
                3.1775            -1.1064E+06 
                3.2075            -1.05981E+06
                3.2375            -1.04606E+06
                3.2675            -1.03688E+06
                3.2975            -1.0295E+06 
                3.3275            -1.01835E+06
                3.3575            -1.00479E+06
                3.3875          -991.439E+03  
                3.4175          -979.316E+03  
                3.4475          -969.743E+03  
                3.4775          -962.343E+03  
                3.5075          -956.175E+03  
                3.5375          -950.907E+03  
                3.5675          -946.341E+03  
                3.5975          -942.302E+03  
                3.6275          -938.053E+03  
                3.6575          -933.966E+03  
                3.6875          -930.219E+03  
                3.7175          -926.772E+03  
                3.7475          -923.417E+03  
                3.7775          -920.059E+03  
                3.8075          -916.81E+03   
                3.8375          -913.57E+03   
                3.8675          -910.286E+03  
                3.8975          -906.805E+03  
                3.9275          -903.293E+03  
                3.9575          -899.699E+03  
                3.9875          -896.164E+03  
                4.0175          -892.638E+03  




