
                             _U:U1 PI: TWR-1 N
                  X                 : 9       

                0.                 0.         
               10.E-03             9.54315E-03
               20.E-03            19.0862E-03 
               35.E-03            33.4008E-03 
               57.5E-03           54.8725E-03 
               87.5E-03           83.5011E-03 
              117.5E-03          112.129E-03  
              147.5E-03          140.757E-03  
              177.5E-03          169.385E-03  
              207.5E-03          198.013E-03  
              237.5E-03          226.64E-03   
              267.5E-03          255.268E-03  
              297.5E-03          283.895E-03  
              327.5E-03          312.522E-03  
              357.5E-03          341.149E-03  
              387.5E-03          369.777E-03  
              417.5E-03          398.404E-03  
              447.5E-03          427.031E-03  
              477.5E-03          455.659E-03  
              507.5E-03          484.287E-03  
              537.5E-03          512.915E-03  
              567.5E-03          541.543E-03  
              597.5E-03          570.171E-03  
              627.5E-03          598.8E-03    
              657.5E-03          627.43E-03   
              687.5E-03          656.059E-03  
              717.5E-03          684.69E-03   
              747.5E-03          713.32E-03   
              777.5E-03          741.952E-03  
              807.5E-03          770.583E-03  
              837.5E-03          799.216E-03  
              867.5E-03          827.849E-03  
              897.5E-03          856.483E-03  
              927.5E-03          885.118E-03  
              957.5E-03          913.753E-03  
              987.5E-03          942.389E-03  
                1.0175           971.027E-03  
                1.0475           999.665E-03  
                1.0775             1.0283     
                1.1075             1.05694    
                1.1375             1.08559    
                1.1675             1.11423    
                1.1975             1.14287    
                1.2275             1.17152    
                1.2575             1.20016    
                1.2875             1.22881    
                1.3175             1.25746    
                1.3475             1.28611    
                1.3775             1.31476    
                1.4075             1.34341    
                1.4375             1.37207    
                1.4675             1.40072    
                1.4975             1.42938    
                1.5275             1.45804    
                1.5575             1.4867     
                1.5875             1.51536    
                1.6175             1.54403    
                1.6475             1.57269    
                1.6775             1.60136    
                1.7075             1.63003    
                1.7375             1.65871    
                1.7675             1.68738    
                1.7975             1.71606    
                1.8275             1.74474    
                1.8575             1.77342    
                1.8875             1.8021     
                1.9175             1.83079    
                1.9475             1.85948    
                1.9775             1.88817    
                2.0075             1.91686    
                2.0375             1.94556    
                2.0675             1.97426    
                2.0975             2.00296    
                2.1275             2.03166    
                2.1575             2.06038    
                2.1875             2.08909    
                2.2175             2.11781    
                2.2475             2.14653    
                2.2775             2.17526    
                2.3075             2.20399    
                2.3375             2.23272    
                2.3675             2.26146    
                2.3975             2.29021    
                2.4275             2.31898    
                2.4575             2.34776    
                2.4875             2.37655    
                2.5175             2.40535    
                2.5475             2.43416    
                2.5775             2.46299    
                2.6075             2.49182    
                2.6375             2.52069    
                2.6675             2.54959    
                2.6975             2.57849    
                2.7275             2.60742    
                2.7575             2.6364     
                2.7875             2.6654     
                2.8175             2.69441    
                2.8475             2.72347    
                2.8775             2.75252    
                2.9075             2.78158    
                2.9375             2.81068    
                2.9675             2.83986    
                2.9975             2.86907    
                3.0275             2.8983     
                3.0575             2.92758    
                3.0875             2.95689    
                3.1175             2.98629    
                3.1475             3.0157     
                3.1775             3.04511    
                3.2075             3.07447    
                3.2375             3.1038     
                3.2675             3.13324    
                3.2975             3.16279    
                3.3275             3.19262    
                3.3575             3.21911    
                3.365              3.22226    
                3.3725             3.22179    
                3.38375            3.22155    
                3.40062            3.22958    
                3.42594            3.25277    
                3.45594            3.28117    
                3.48594            3.31059    
                3.51594            3.34012    
                3.54594            3.36809    
                3.57594            3.39643    
                3.60594            3.42564    
                3.63594            3.45559    
                3.66594            3.48569    
                3.69594            3.51585    
                3.72594            3.54602    
                3.75594            3.57618    
                3.78594            3.60635    
                3.81594            3.63654    
                3.84594            3.66673    
                3.87594            3.69692    
                3.90594            3.72711    
                3.93594            3.7573     
                3.96594            3.78748    
                3.99594            3.81766    




