
                             _U:U1 PI: ASSEMBL
                  X               Y N: 1_1    

                0.                 0.         
               10.E-03            10.E-03     
               20.E-03            20.E-03     
               35.E-03            35.E-03     
               55.E-03            55.E-03     
               75.E-03            75.E-03     
               95.E-03            94.9999E-03 
              115.E-03           115.E-03     
              135.E-03           135.E-03     
              155.E-03           155.E-03     
              175.E-03           175.E-03     
              195.E-03           195.E-03     
              215.E-03           214.999E-03  
              235.E-03           234.999E-03  
              255.E-03           254.999E-03  
              275.E-03           274.999E-03  
              295.E-03           294.998E-03  
              315.E-03           314.998E-03  
              335.E-03           334.998E-03  
              355.E-03           354.997E-03  
              375.E-03           374.997E-03  
              395.E-03           394.996E-03  
              415.E-03           414.996E-03  
              435.E-03           434.995E-03  
              455.E-03           454.994E-03  
              475.E-03           474.994E-03  
              495.E-03           494.993E-03  
              515.E-03           514.992E-03  
              535.E-03           534.991E-03  
              555.E-03           554.99E-03   
              575.E-03           574.989E-03  
              595.E-03           594.987E-03  
              615.E-03           614.986E-03  
              635.E-03           634.988E-03  
              655.E-03           655.013E-03  
              675.E-03           675.087E-03  
              695.E-03           695.23E-03   
              715.E-03           715.451E-03  
              735.E-03           735.901E-03  
              755.E-03           756.437E-03  
              775.E-03           777.413E-03  
              795.E-03           798.391E-03  
              815.E-03           819.372E-03  
              835.E-03           840.534E-03  
              855.E-03           861.706E-03  
              875.E-03           882.859E-03  
              895.E-03           904.12E-03   
              915.E-03           925.969E-03  
              935.E-03           948.225E-03  
              955.E-03           970.705E-03  
              975.E-03           993.351E-03  
              995.E-03             1.01612    




