
                             _RF:RF1 PI: ASSEM
                  X               BLY N: 1    

                0.                -0.         
               10.E-03           -11.8123E+03 
               20.E-03           -23.6242E+03 
               35.E-03           -41.3415E+03 
               57.5E-03          -67.9158E+03 
               87.5E-03         -103.345E+03  
              117.5E-03         -138.77E+03   
              147.5E-03         -174.191E+03  
              177.5E-03         -209.607E+03  
              207.5E-03         -245.018E+03  
              237.5E-03         -280.423E+03  
              267.5E-03         -315.822E+03  
              297.5E-03         -351.215E+03  
              327.5E-03         -386.6E+03    
              357.5E-03         -421.978E+03  
              387.5E-03         -457.349E+03  
              417.5E-03         -492.71E+03   
              447.5E-03         -528.064E+03  
              477.5E-03         -563.408E+03  
              507.5E-03         -598.742E+03  
              537.5E-03         -634.067E+03  
              567.5E-03         -669.381E+03  
              597.5E-03         -704.684E+03  
              627.5E-03         -739.976E+03  
              657.5E-03         -775.256E+03  
              687.5E-03         -810.523E+03  
              717.5E-03         -845.779E+03  
              747.5E-03         -881.02E+03   
              777.5E-03         -916.248E+03  
              807.5E-03         -951.463E+03  
              837.5E-03         -986.662E+03  
              867.5E-03           -1.02185E+06
              897.5E-03           -1.05702E+06
              927.5E-03           -1.09217E+06
              957.5E-03           -1.1273E+06 
              987.5E-03           -1.16242E+06
                1.0175            -1.19753E+06
                1.0475            -1.23261E+06
                1.0775            -1.26768E+06
                1.1075            -1.30272E+06
                1.1375            -1.33775E+06
                1.1675            -1.37276E+06
                1.1975            -1.40774E+06
                1.2275            -1.44271E+06
                1.2575            -1.47766E+06
                1.2875            -1.51256E+06
                1.3175            -1.54741E+06
                1.3475            -1.58224E+06
                1.3775            -1.61705E+06
                1.4075            -1.65181E+06
                1.4375            -1.68654E+06
                1.4675            -1.72111E+06
                1.4975            -1.7555E+06 
                1.5275            -1.78975E+06
                1.5575            -1.8239E+06 
                1.5875            -1.85788E+06
                1.6175            -1.89163E+06
                1.6475            -1.92508E+06
                1.6775            -1.9581E+06 
                1.7075            -1.99082E+06
                1.7375            -2.0233E+06 
                1.7675            -2.05519E+06
                1.7975            -2.08606E+06
                1.8275            -2.11594E+06
                1.8575            -2.14522E+06
                1.8875            -2.17337E+06
                1.9175            -2.20023E+06
                1.9475            -2.22589E+06
                1.9775            -2.25074E+06
                2.0075            -2.27449E+06
                2.0375            -2.29656E+06
                2.0675            -2.31638E+06
                2.0975            -2.3318E+06 
                2.1275            -2.34349E+06
                2.1575            -2.35156E+06
                2.1875            -2.3571E+06 
                2.2175            -2.36161E+06
                2.2475            -2.36179E+06
                2.2775            -2.35694E+06
                2.3075            -2.34936E+06
                2.3375            -2.33821E+06
                2.3675            -2.32518E+06
                2.3975            -2.30543E+06
                2.4275            -2.27941E+06
                2.4575            -2.2549E+06 
                2.4875            -2.23513E+06
                2.5175            -2.21713E+06
                2.5475            -2.19953E+06
                2.5775            -2.18401E+06
                2.6075            -2.16966E+06
                2.6375            -2.15587E+06
                2.6675            -2.14299E+06
                2.6975            -2.13122E+06
                2.7275            -2.12044E+06
                2.7575            -2.11014E+06
                2.7875            -2.10051E+06
                2.8175            -2.09085E+06
                2.8475            -2.08135E+06
                2.8775            -2.07267E+06
                2.9075            -2.06412E+06
                2.9375            -2.05607E+06
                2.9675            -2.04833E+06
                2.9975            -2.041E+06  
                3.0275            -2.03384E+06
                3.0575            -2.02592E+06
                3.0875            -2.01808E+06
                3.1175            -2.01035E+06
                3.1475            -2.00272E+06
                3.1775            -1.99513E+06
                3.2075            -1.98787E+06
                3.2375            -1.98012E+06
                3.2675            -1.97266E+06
                3.2975            -1.96541E+06
                3.3275            -1.95832E+06
                3.3575            -1.95124E+06
                3.3875            -1.94424E+06
                3.4175            -1.93718E+06
                3.4475            -1.93008E+06
                3.4775            -1.92289E+06
                3.5075            -1.9155E+06 
                3.5375            -1.90748E+06
                3.5675            -1.8989E+06 
                3.5975            -1.89012E+06
                3.6275            -1.88107E+06
                3.6575            -1.87166E+06
                3.6875            -1.86174E+06
                3.7175            -1.85137E+06
                3.7475            -1.84084E+06
                3.7775            -1.82997E+06
                3.8075            -1.8185E+06 
                3.8375            -1.80699E+06
                3.8675            -1.79557E+06
                3.8975            -1.7842E+06 
                3.9275            -1.77287E+06
                3.9575            -1.7617E+06 
                3.9875            -1.75072E+06
                4.0175            -1.73977E+06
                4.0475            -1.72882E+06
                4.0775            -1.71787E+06
                4.1075            -1.70709E+06
                4.1375            -1.69645E+06
                4.1675            -1.68591E+06




