
                             _U:U1 PI: ASSEMBL
                  X                Y N: 3     

                0.                 0.         
               10.E-03            10.E-03     
               20.E-03            20.E-03     
               30.E-03            30.E-03     
               40.E-03            39.9999E-03 
               50.E-03            49.9999E-03 
               60.E-03            59.9998E-03 
               70.E-03            69.9997E-03 
               80.E-03            79.9995E-03 
               90.E-03            89.9994E-03 
              100.E-03            99.9991E-03 
              110.E-03           109.999E-03  
              120.E-03           119.998E-03  
              130.E-03           129.998E-03  
              140.E-03           139.999E-03  
              150.E-03           150.033E-03  
              160.E-03           160.247E-03  
              170.E-03           170.803E-03  
              180.E-03           181.616E-03  
              190.E-03           192.753E-03  
              200.E-03           204.14E-03   
              210.E-03           215.611E-03  
              220.E-03           227.148E-03  
              230.E-03           238.814E-03  
              240.E-03           250.684E-03  
              250.E-03           262.628E-03  
              260.E-03           274.578E-03  
              270.E-03           286.539E-03  
              280.E-03           298.507E-03  
              290.E-03           310.475E-03  
              300.E-03           322.444E-03  
              310.E-03           334.415E-03  
              320.E-03           346.403E-03  
              330.E-03           358.417E-03  
              340.E-03           370.496E-03  
              350.E-03           382.6E-03    
              360.E-03           394.712E-03  
              370.E-03           406.825E-03  
              380.E-03           418.936E-03  
              390.E-03           431.053E-03  
              400.E-03           443.169E-03  
              410.E-03           455.287E-03  
              420.E-03           467.405E-03  
              430.E-03           479.523E-03  
              440.E-03           491.639E-03  
              450.E-03           503.756E-03  




