
                             _RF:RF1 PI: ASSEM
                  X              BLY N: 1_1   

                0.                -0.         
               10.E-03           -11.8123E+03 
               20.E-03           -23.6242E+03 
               35.E-03           -41.3415E+03 
               57.5E-03          -67.9158E+03 
               87.5E-03         -103.345E+03  
              117.5E-03         -138.77E+03   
              147.5E-03         -174.191E+03  
              177.5E-03         -209.607E+03  
              207.5E-03         -245.018E+03  
              237.5E-03         -280.423E+03  
              267.5E-03         -315.822E+03  
              297.5E-03         -351.215E+03  
              327.5E-03         -386.6E+03    
              357.5E-03         -421.978E+03  
              387.5E-03         -457.349E+03  
              417.5E-03         -492.71E+03   
              447.5E-03         -528.064E+03  
              477.5E-03         -563.408E+03  
              507.5E-03         -598.742E+03  
              537.5E-03         -634.067E+03  
              567.5E-03         -669.381E+03  
              597.5E-03         -704.684E+03  
              627.5E-03         -739.976E+03  
              657.5E-03         -775.256E+03  
              687.5E-03         -810.523E+03  
              717.5E-03         -845.779E+03  
              747.5E-03         -881.02E+03   
              777.5E-03         -916.248E+03  
              807.5E-03         -951.463E+03  
              837.5E-03         -986.662E+03  
              867.5E-03           -1.02185E+06
              897.5E-03           -1.05702E+06
              927.5E-03           -1.09217E+06
              957.5E-03           -1.1273E+06 
              987.5E-03           -1.16242E+06
                1.0175            -1.19753E+06
                1.0475            -1.23261E+06
                1.0775            -1.26768E+06
                1.1075            -1.30272E+06
                1.1375            -1.33775E+06
                1.1675            -1.37276E+06
                1.1975            -1.40774E+06
                1.2275            -1.44271E+06
                1.2575            -1.47766E+06
                1.2875            -1.51258E+06
                1.3175            -1.54748E+06
                1.3475            -1.58236E+06
                1.3775            -1.6172E+06 
                1.4075            -1.65201E+06
                1.4375            -1.68676E+06
                1.4675            -1.7215E+06 
                1.4975            -1.7562E+06 
                1.5275            -1.79086E+06
                1.5575            -1.82549E+06
                1.5875            -1.85999E+06
                1.6175            -1.89433E+06
                1.6475            -1.92851E+06
                1.6775            -1.96256E+06
                1.7075            -1.9965E+06 
                1.7375            -2.03028E+06
                1.7675            -2.0638E+06 
                1.7975            -2.09703E+06
                1.8275            -2.12983E+06
                1.8575            -2.16232E+06
                1.8875            -2.19459E+06
                1.9175            -2.22641E+06
                1.9475            -2.25744E+06
                1.9775            -2.28727E+06
                2.0075            -2.31643E+06
                2.0375            -2.34493E+06
                2.0675            -2.37199E+06
                2.0975            -2.39792E+06
                2.1275            -2.42269E+06
                2.1575            -2.44666E+06
                2.1875            -2.46939E+06
                2.2175            -2.49034E+06
                2.2475            -2.5086E+06 
                2.2775            -2.52149E+06
                2.3075            -2.5304E+06 
                2.3375            -2.5342E+06 
                2.3675            -2.53503E+06
                2.3975            -2.52979E+06
                2.4275            -2.5158E+06 
                2.4575            -2.49581E+06
                2.4875            -2.47405E+06
                2.5175            -2.44943E+06
                2.5475            -2.42248E+06
                2.5775            -2.40145E+06
                2.6075            -2.38425E+06
                2.6375            -2.36593E+06
                2.6675            -2.34595E+06
                2.6975            -2.32738E+06
                2.7275            -2.30968E+06
                2.7575            -2.29316E+06
                2.7875            -2.27806E+06
                2.8175            -2.26366E+06
                2.8475            -2.2502E+06 
                2.8775            -2.2375E+06 
                2.9075            -2.22414E+06
                2.9375            -2.21222E+06
                2.9675            -2.20172E+06
                2.9975            -2.19271E+06
                3.0275            -2.18423E+06
                3.0575            -2.17687E+06
                3.0875            -2.17027E+06
                3.1175            -2.16419E+06
                3.1475            -2.15849E+06
                3.1775            -2.15191E+06
                3.2075            -2.14492E+06
                3.2375            -2.1384E+06 
                3.2675            -2.13116E+06
                3.2975            -2.12307E+06
                3.3275            -2.1153E+06 
                3.3575            -2.10774E+06
                3.3875            -2.10013E+06
                3.4175            -2.09245E+06
                3.4475            -2.08484E+06
                3.4775            -2.07723E+06
                3.5075            -2.06948E+06
                3.5375            -2.06122E+06
                3.5675            -2.05273E+06
                3.5975            -2.04399E+06
                3.6275            -2.03493E+06
                3.6575            -2.02461E+06
                3.6875            -2.01365E+06
                3.7175            -2.00189E+06
                3.7475            -1.98958E+06
                3.7775            -1.97708E+06
                3.8075            -1.96392E+06
                3.8375            -1.95021E+06
                3.8675            -1.93647E+06
                3.8975            -1.92292E+06
                3.9275            -1.90953E+06
                3.9575            -1.89623E+06
                3.9875            -1.88322E+06
                4.0175            -1.87047E+06
                4.0475            -1.85807E+06
                4.0775            -1.84584E+06
                4.1075            -1.83373E+06
                4.1375            -1.82161E+06
                4.1675            -1.80963E+06




