
                             _U:U1 PI: ASSEMBL
                  X               Y N: 3_1    

                0.                 0.         
               10.E-03            10.E-03     
               20.E-03            20.E-03     
               30.E-03            30.E-03     
               40.E-03            39.9999E-03 
               50.E-03            49.9999E-03 
               60.E-03            59.9998E-03 
               70.E-03            69.9997E-03 
               80.E-03            79.9995E-03 
               90.E-03            89.9994E-03 
              100.E-03            99.9991E-03 
              110.E-03           109.999E-03  
              120.E-03           119.998E-03  
              130.E-03           129.998E-03  
              140.E-03           139.998E-03  
              150.E-03           149.998E-03  
              160.E-03           160.015E-03  
              170.E-03           170.134E-03  
              180.E-03           180.534E-03  
              190.E-03           191.23E-03   
              200.E-03           202.151E-03  
              210.E-03           213.406E-03  
              220.E-03           224.819E-03  
              230.E-03           236.299E-03  
              240.E-03           247.843E-03  
              250.E-03           259.507E-03  
              260.E-03           271.365E-03  
              270.E-03           283.308E-03  
              280.E-03           295.259E-03  
              290.E-03           307.218E-03  
              300.E-03           319.187E-03  
              310.E-03           331.155E-03  
              320.E-03           343.126E-03  
              330.E-03           355.099E-03  
              340.E-03           367.076E-03  
              350.E-03           379.069E-03  
              360.E-03           391.095E-03  
              370.E-03           403.185E-03  
              380.E-03           415.294E-03  
              390.E-03           427.411E-03  
              400.E-03           439.526E-03  
              410.E-03           451.642E-03  
              420.E-03           463.762E-03  
              430.E-03           475.883E-03  
              440.E-03           488.005E-03  
              450.E-03           500.128E-03  




