
                             _U:U1 PI: MAIN-1 
                  X                 N: 2      

                0.                 0.         
               10.E-03             9.56331E-03
               20.E-03            19.1265E-03 
               35.E-03            33.4713E-03 
               57.5E-03           54.9881E-03 
               87.5E-03           83.6766E-03 
              117.5E-03          112.365E-03  
              147.5E-03          141.052E-03  
              177.5E-03          169.739E-03  
              207.5E-03          198.425E-03  
              237.5E-03          227.111E-03  
              267.5E-03          255.797E-03  
              297.5E-03          284.482E-03  
              327.5E-03          313.166E-03  
              357.5E-03          341.85E-03   
              387.5E-03          370.534E-03  
              417.5E-03          399.218E-03  
              447.5E-03          427.901E-03  
              477.5E-03          456.584E-03  
              507.5E-03          485.266E-03  
              537.5E-03          513.948E-03  
              567.5E-03          542.63E-03   
              597.5E-03          571.312E-03  
              627.5E-03          599.994E-03  
              657.5E-03          628.675E-03  
              687.5E-03          657.356E-03  
              717.5E-03          686.037E-03  
              747.5E-03          714.718E-03  
              777.5E-03          743.399E-03  
              807.5E-03          772.08E-03   
              837.5E-03          800.76E-03   
              867.5E-03          829.441E-03  
              897.5E-03          858.122E-03  
              927.5E-03          886.802E-03  
              957.5E-03          915.483E-03  
              987.5E-03          944.164E-03  
                1.0175           972.844E-03  
                1.0475             1.00153    
                1.0775             1.03021    
                1.1075             1.05889    
                1.1375             1.08757    
                1.1675             1.11625    
                1.1975             1.14493    
                1.2275             1.17361    
                1.2575             1.2023     
                1.2875             1.23098    
                1.3175             1.25966    
                1.3475             1.28834    
                1.3775             1.31703    
                1.4075             1.34571    
                1.4375             1.3744     
                1.4675             1.40308    
                1.4975             1.43177    
                1.5275             1.46045    
                1.5575             1.48914    
                1.5875             1.51782    
                1.6175             1.54651    
                1.6475             1.5752     
                1.6775             1.60389    
                1.7075             1.63257    
                1.7375             1.66126    
                1.7675             1.68995    
                1.7975             1.71864    
                1.8275             1.74733    
                1.8575             1.77603    
                1.8875             1.80472    
                1.9175             1.83341    
                1.9475             1.86211    
                1.9775             1.8908     
                2.0075             1.91949    
                2.0375             1.94819    
                2.0675             1.97688    
                2.0975             2.00558    
                2.1275             2.03428    
                2.1575             2.06297    
                2.1875             2.09167    
                2.2175             2.12036    
                2.2475             2.14905    
                2.2775             2.17774    
                2.3075             2.20643    
                2.3375             2.23511    
                2.3675             2.26379    
                2.3975             2.29247    
                2.4275             2.32115    
                2.4575             2.34982    
                2.4875             2.37849    
                2.5175             2.40715    
                2.5475             2.43579    
                2.5775             2.46443    
                2.6075             2.49306    
                2.6375             2.52167    
                2.6675             2.55027    
                2.6975             2.57885    
                2.7275             2.60739    
                2.7575             2.63591    
                2.7875             2.6644     
                2.8175             2.69284    
                2.8475             2.72118    
                2.8775             2.74944    
                2.9075             2.77765    
                2.9375             2.80575    
                2.9675             2.83377    
                2.9975             2.86163    
                3.0275             2.88905    
                3.0575             2.91483    
                3.065              2.92099    
                3.0725             2.92658    
                3.08375            2.93362    
                3.08656            2.935      
                3.08938            2.93294    
                3.09359            2.92945    
                3.09992            2.92347    
                3.10941            2.91437    
                3.12365            2.90065    
                3.14501            2.88011    
                3.17501            2.85125    
                3.20501            2.82177    
                3.21251            2.81459    
                3.21438            2.81177    
                3.2172             2.80928    
                3.22142            2.77559    
                3.22563            2.77156    
                3.22985            2.76754    
                3.23618            2.76151    
                3.24567            2.75246    
                3.25991            2.73889    
                3.28127            2.71853    
                3.31127            2.68994    
                3.34127            2.66134    
                3.37127            2.63275    
                3.40127            2.60415    
                3.43127            2.57555    
                3.46127            2.54695    
                3.49127            2.51835    
                3.52127            2.48975    
                3.55127            2.46115    
                3.58127            2.43255    
                3.61127            2.40395    
                3.64127            2.37534    
                3.67127            2.34674    
                3.70127            2.31814    
                3.73127            2.28954    
                3.76127            2.26093    
                3.79127            2.23233    




