
                             _U:U1 PI: FOD-TWR
                  X              -1 N: 2_1    

                0.                 0.         
               10.E-03             9.60994E-03
               20.E-03            19.2198E-03 
               35.E-03            33.6345E-03 
               57.5E-03           55.2562E-03 
               87.5E-03           84.0847E-03 
              117.5E-03          112.913E-03  
              147.5E-03          141.74E-03   
              177.5E-03          170.567E-03  
              207.5E-03          199.393E-03  
              237.5E-03          228.219E-03  
              267.5E-03          257.044E-03  
              297.5E-03          285.869E-03  
              327.5E-03          314.693E-03  
              357.5E-03          343.517E-03  
              387.5E-03          372.341E-03  
              417.5E-03          401.164E-03  
              447.5E-03          429.986E-03  
              477.5E-03          458.809E-03  
              507.5E-03          487.631E-03  
              537.5E-03          516.452E-03  
              567.5E-03          545.273E-03  
              597.5E-03          574.094E-03  
              627.5E-03          602.915E-03  
              657.5E-03          631.735E-03  
              687.5E-03          660.555E-03  
              717.5E-03          689.375E-03  
              747.5E-03          718.194E-03  
              777.5E-03          747.014E-03  
              807.5E-03          775.833E-03  
              837.5E-03          804.652E-03  
              867.5E-03          833.47E-03   
              897.5E-03          862.289E-03  
              927.5E-03          891.107E-03  
              957.5E-03          919.926E-03  
              987.5E-03          948.744E-03  
                1.0175           977.562E-03  
                1.0475             1.00638    
                1.0775             1.0352     
                1.1075             1.06402    
                1.1375             1.09283    
                1.1675             1.12165    
                1.1975             1.15047    
                1.2275             1.17929    
                1.2575             1.2081     
                1.2875             1.23692    
                1.3175             1.26574    
                1.3475             1.29456    
                1.3775             1.32338    
                1.4075             1.3522     
                1.4375             1.38101    
                1.4675             1.40983    
                1.4975             1.43865    
                1.5275             1.46747    
                1.5575             1.49629    
                1.5875             1.52512    
                1.6175             1.55394    
                1.6475             1.58277    
                1.6775             1.61159    
                1.7075             1.64041    
                1.7375             1.66924    
                1.7675             1.69807    
                1.7975             1.72689    
                1.8275             1.75571    
                1.8575             1.78454    
                1.8875             1.81334    
                1.9175             1.84214    
                1.9475             1.87092    
                1.9775             1.89969    
                2.0075             1.92843    
                2.0375             1.95713    
                2.0675             1.98576    
                2.0975             2.01434    
                2.1275             2.04289    
                2.1575             2.07142    
                2.1875             2.09994    
                2.2175             2.12842    
                2.2475             2.15687    
                2.2775             2.18527    
                2.3075             2.21354    
                2.3375             2.24173    
                2.3675             2.26988    
                2.3975             2.29798    
                2.4275             2.32605    
                2.4575             2.35408    
                2.4875             2.38198    
                2.5175             2.40971    
                2.5475             2.43747    
                2.5775             2.46519    
                2.6075             2.49302    
                2.6375             2.52081    
                2.6675             2.54873    
                2.6975             2.57674    
                2.7275             2.6048     
                2.7575             2.63288    
                2.7875             2.66096    
                2.8175             2.68907    
                2.8475             2.71721    
                2.8775             2.74539    
                2.9075             2.77362    
                2.9375             2.80187    
                2.9675             2.83015    
                2.9975             2.85844    
                3.0275             2.88674    
                3.0575             2.91504    
                3.0875             2.94335    
                3.1175             2.97165    
                3.1475             2.99994    
                3.1775             3.02822    
                3.2075             3.05649    
                3.2375             3.08476    
                3.2675             3.11302    
                3.2975             3.14127    
                3.3275             3.16951    
                3.3575             3.19774    
                3.3875             3.22596    
                3.4175             3.25416    
                3.4475             3.28234    
                3.4775             3.3105     
                3.5075             3.33864    
                3.5375             3.36677    
                3.5675             3.39489    
                3.5975             3.42299    
                3.6275             3.45109    
                3.6575             3.47919    
                3.6875             3.50729    
                3.7175             3.53541    
                3.7475             3.56354    
                3.7775             3.59168    
                3.8075             3.61982    
                3.8375             3.64797    
                3.8675             3.67613    
                3.8975             3.7043     
                3.9275             3.73247    
                3.9575             3.76065    
                3.9875             3.78883    
                4.0175             3.81702    
                4.0475             3.84521    
                4.0775             3.8734     




