
                             _U:U1 PI: FOD-TWR
                  X               -1 N: 2     

                0.                 0.         
               10.E-03             9.60994E-03
               20.E-03            19.2198E-03 
               35.E-03            33.6345E-03 
               57.5E-03           55.2562E-03 
               87.5E-03           84.0847E-03 
              117.5E-03          112.913E-03  
              147.5E-03          141.74E-03   
              177.5E-03          170.567E-03  
              207.5E-03          199.393E-03  
              237.5E-03          228.219E-03  
              267.5E-03          257.044E-03  
              297.5E-03          285.869E-03  
              327.5E-03          314.693E-03  
              357.5E-03          343.517E-03  
              387.5E-03          372.341E-03  
              417.5E-03          401.164E-03  
              447.5E-03          429.986E-03  
              477.5E-03          458.809E-03  
              507.5E-03          487.631E-03  
              537.5E-03          516.452E-03  
              567.5E-03          545.273E-03  
              597.5E-03          574.094E-03  
              627.5E-03          602.915E-03  
              657.5E-03          631.735E-03  
              687.5E-03          660.555E-03  
              717.5E-03          689.375E-03  
              747.5E-03          718.194E-03  
              777.5E-03          747.014E-03  
              807.5E-03          775.833E-03  
              837.5E-03          804.652E-03  
              867.5E-03          833.47E-03   
              897.5E-03          862.289E-03  
              927.5E-03          891.107E-03  
              957.5E-03          919.926E-03  
              987.5E-03          948.744E-03  
                1.0175           977.562E-03  
                1.0475             1.00638    
                1.0775             1.0352     
                1.1075             1.06402    
                1.1375             1.09283    
                1.1675             1.12165    
                1.1975             1.15047    
                1.2275             1.17929    
                1.2575             1.2081     
                1.2875             1.23692    
                1.3175             1.26574    
                1.3475             1.29456    
                1.3775             1.32338    
                1.4075             1.35219    
                1.4375             1.38101    
                1.4675             1.40983    
                1.4975             1.43865    
                1.5275             1.46747    
                1.5575             1.49629    
                1.5875             1.52511    
                1.6175             1.55393    
                1.6475             1.58275    
                1.6775             1.61157    
                1.7075             1.64039    
                1.7375             1.66921    
                1.7675             1.69803    
                1.7975             1.72685    
                1.8275             1.75567    
                1.8575             1.7845     
                1.8875             1.81332    
                1.9175             1.84214    
                1.9475             1.87097    
                1.9775             1.89979    
                2.0075             1.92862    
                2.0375             1.95744    
                2.0675             1.98627    
                2.0975             2.0151     
                2.1275             2.04392    
                2.1575             2.07275    
                2.1875             2.10158    
                2.2175             2.13041    
                2.2475             2.15925    
                2.2775             2.18809    
                2.3075             2.21692    
                2.3375             2.24576    
                2.3675             2.2746     
                2.3975             2.30343    
                2.4275             2.33228    
                2.4575             2.36113    
                2.4875             2.38998    
                2.5175             2.41883    
                2.5475             2.44768    
                2.5775             2.47652    
                2.6075             2.50538    
                2.6375             2.53422    
                2.6675             2.56304    
                2.6975             2.59187    
                2.7275             2.62069    
                2.7575             2.64949    
                2.7875             2.67828    
                2.8175             2.70704    
                2.8475             2.73567    
                2.8775             2.76419    
                2.9075             2.79255    
                2.9375             2.82058    
                2.9675             2.84844    
                2.975              2.85526    
                2.98625            2.86516    
                2.99047            2.87055    
                2.9968             2.8745     
                2.99838            2.87549    
                2.99996            2.87608    
                3.00233            2.87407    
                3.00589            2.87385    
                3.01123            2.87844    
                3.01924            2.88827    
                3.03126            2.90364    
                3.04928            2.92782    
                3.07631            2.96452    
                3.10631            3.00608    
                3.13631            3.04813    
                3.16631            3.09031    
                3.19631            3.13257    
                3.22631            3.17484    
                3.25631            3.21713    
                3.28631            3.2594     
                3.31631            3.30167    
                3.34631            3.34393    
                3.37631            3.38609    
                3.40631            3.42826    
                3.43631            3.4704     
                3.46631            3.51255    
                3.49631            3.55474    
                3.52631            3.59698    
                3.55631            3.63927    
                3.58631            3.68157    
                3.61631            3.72385    
                3.64631            3.76615    
                3.67631            3.80844    
                3.70631            3.85073    




