
                             _U:U1 PI: ASSEMBL
                  X               Y N: 2_1    

                0.                 0.         
               10.E-03            10.0002E-03 
               20.E-03            20.0006E-03 
               30.E-03            30.0014E-03 
               40.E-03            40.0025E-03 
               50.E-03            50.004E-03  
               60.E-03            60.0057E-03 
               70.E-03            70.0077E-03 
               80.E-03            80.0101E-03 
               90.E-03            90.0127E-03 
              100.E-03           100.016E-03  
              110.E-03           110.019E-03  
              120.E-03           120.022E-03  
              130.E-03           130.026E-03  
              140.E-03           140.03E-03   
              150.E-03           150.035E-03  
              160.E-03           160.039E-03  
              170.E-03           170.044E-03  
              180.E-03           180.05E-03   
              190.E-03           190.076E-03  
              200.E-03           200.145E-03  
              210.E-03           210.215E-03  
              220.E-03           220.286E-03  
              230.E-03           230.799E-03  
              240.E-03           241.328E-03  
              250.E-03           251.857E-03  
              260.E-03           262.385E-03  
              270.E-03           272.913E-03  
              280.E-03           283.59E-03   
              290.E-03           295.063E-03  
              300.E-03           307.032E-03  
              310.E-03           319.056E-03  
              320.E-03           331.193E-03  
              330.E-03           343.567E-03  
              340.E-03           356.066E-03  
              350.E-03           368.648E-03  
              360.E-03           381.394E-03  
              370.E-03           394.571E-03  
              380.E-03           407.814E-03  
              390.E-03           421.093E-03  
              400.E-03           434.628E-03  
              410.E-03           448.319E-03  
              420.E-03           462.176E-03  
              430.E-03           476.1E-03    
              440.E-03           490.083E-03  
              450.E-03           504.126E-03  
              460.E-03           518.301E-03  
              470.E-03           532.753E-03  
              480.E-03           547.524E-03  
              490.E-03           562.345E-03  
              500.E-03           577.171E-03  
              510.E-03           592.006E-03  
              520.E-03           606.843E-03  
              530.E-03           621.686E-03  
              540.E-03           636.578E-03  
              550.E-03           651.504E-03  
              560.E-03           666.39E-03   
              570.E-03           681.328E-03  
              580.E-03           696.329E-03  
              590.E-03           711.346E-03  
              600.E-03           726.395E-03  
              610.E-03           741.511E-03  
              620.E-03           756.892E-03  
              630.E-03           772.368E-03  
              640.E-03           787.904E-03  
              650.E-03           803.517E-03  




