
                             _RF:RF1 PI: FOUND
                  X           ATION-1 N: 17_1 

                0.                -0.         
               10.E-03            -2.65167E+03
               20.E-03            -5.30334E+03
               35.E-03            -9.28079E+03
               57.5E-03          -15.2469E+03 
               87.5E-03          -23.2015E+03 
              117.5E-03          -31.1559E+03 
              147.5E-03          -39.11E+03   
              177.5E-03          -47.0637E+03 
              207.5E-03          -55.017E+03  
              237.5E-03          -62.9698E+03 
              267.5E-03          -70.9222E+03 
              297.5E-03          -78.874E+03  
              327.5E-03          -86.8252E+03 
              357.5E-03          -94.7757E+03 
              387.5E-03         -102.726E+03  
              417.5E-03         -110.675E+03  
              447.5E-03         -118.623E+03  
              477.5E-03         -126.57E+03   
              507.5E-03         -134.517E+03  
              537.5E-03         -142.463E+03  
              567.5E-03         -150.407E+03  
              597.5E-03         -158.351E+03  
              627.5E-03         -166.293E+03  
              657.5E-03         -174.234E+03  
              687.5E-03         -182.174E+03  
              717.5E-03         -190.113E+03  
              747.5E-03         -198.051E+03  
              777.5E-03         -205.987E+03  
              807.5E-03         -213.921E+03  
              837.5E-03         -221.855E+03  
              867.5E-03         -229.786E+03  
              897.5E-03         -237.716E+03  
              927.5E-03         -245.645E+03  
              957.5E-03         -253.572E+03  
              987.5E-03         -261.497E+03  
                1.0175          -269.42E+03   
                1.0475          -277.341E+03  
                1.0775          -285.261E+03  
                1.1075          -293.178E+03  
                1.1375          -301.093E+03  
                1.1675          -309.007E+03  
                1.1975          -316.918E+03  
                1.2275          -324.827E+03  
                1.2575          -332.734E+03  
                1.2875          -340.638E+03  
                1.3175          -348.54E+03   
                1.3475          -356.44E+03   
                1.3775          -364.337E+03  
                1.4075          -372.231E+03  
                1.4375          -380.123E+03  
                1.4675          -388.012E+03  
                1.4975          -395.898E+03  
                1.5275          -403.782E+03  
                1.5575          -411.663E+03  
                1.5875          -419.541E+03  
                1.6175          -427.415E+03  
                1.6475          -435.287E+03  
                1.6775          -443.156E+03  
                1.7075          -451.021E+03  
                1.7375          -458.883E+03  
                1.7675          -466.742E+03  
                1.7975          -474.597E+03  
                1.8275          -482.449E+03  
                1.8575          -490.297E+03  
                1.8875          -498.141E+03  
                1.9175          -505.982E+03  
                1.9475          -513.819E+03  
                1.9775          -521.653E+03  
                2.0075          -529.482E+03  
                2.0375          -537.307E+03  
                2.0675          -545.128E+03  
                2.0975          -552.941E+03  
                2.1275          -560.749E+03  
                2.1575          -568.545E+03  
                2.1875          -576.334E+03  
                2.2175          -584.119E+03  
                2.2475          -591.898E+03  
                2.2775          -599.673E+03  
                2.3075          -607.441E+03  
                2.3375          -615.199E+03  
                2.3675          -622.925E+03  
                2.3975          -630.638E+03  
                2.4275          -638.298E+03  
                2.4575          -645.927E+03  
                2.4875          -653.537E+03  
                2.5175          -661.125E+03  
                2.5475          -668.702E+03  
                2.5775          -676.26E+03   
                2.6075          -683.782E+03  
                2.6375          -691.214E+03  
                2.6675          -698.574E+03  
                2.6975          -705.804E+03  
                2.7275          -712.985E+03  
                2.7575          -720.134E+03  
                2.7875          -727.201E+03  
                2.8175          -734.125E+03  
                2.8475          -740.905E+03  
                2.8775          -747.433E+03  
                2.9075          -753.914E+03  
                2.9375          -760.207E+03  
                2.9675          -766.201E+03  
                2.9975          -772.09E+03   
                3.0275          -777.708E+03  
                3.0575          -782.902E+03  
                3.0875          -787.618E+03  
                3.1175          -791.642E+03  
                3.1475          -793.841E+03  
                3.1775          -793.852E+03  
                3.185           -792.799E+03  
                3.19625         -789.833E+03  
                3.20047         -787.207E+03  
                3.20205         -785.06E+03   
                3.20442         -773.625E+03  
                3.2068          -769.183E+03  
                3.20917         -764.916E+03  
                3.21273         -759.529E+03  
                3.21629         -754.408E+03  
                3.21985         -749.404E+03  
                3.22519         -741.782E+03  
                3.22719         -736.249E+03  
                3.22794         -734.758E+03  
                3.22907         -733.402E+03  
                3.23076         -731.367E+03  
                3.23329         -728.312E+03  
                3.23709         -723.726E+03  
                3.24279         -716.836E+03  
                3.25135         -706.479E+03  
                3.26418         -690.893E+03  
                3.28342         -667.404E+03  
                3.31228         -631.934E+03  
                3.34228         -594.781E+03  
                3.37228         -557.351E+03  
                3.40228         -519.659E+03  
                3.43228         -481.724E+03  
                3.46228         -443.561E+03  
                3.49228         -405.189E+03  
                3.52228         -366.627E+03  
                3.55228         -327.891E+03  




