
                             _U:U1 PI: ASSEMBL
                  X                Y N: 2     

                0.                 0.         
               10.E-03            10.0002E-03 
               20.E-03            20.0006E-03 
               30.E-03            30.0014E-03 
               40.E-03            40.0025E-03 
               50.E-03            50.004E-03  
               60.E-03            60.0057E-03 
               70.E-03            70.0077E-03 
               80.E-03            80.0101E-03 
               90.E-03            90.0127E-03 
              100.E-03           100.016E-03  
              110.E-03           110.019E-03  
              120.E-03           120.022E-03  
              130.E-03           130.026E-03  
              140.E-03           140.03E-03   
              150.E-03           150.035E-03  
              160.E-03           160.039E-03  
              170.E-03           170.044E-03  
              180.E-03           180.05E-03   
              190.E-03           190.055E-03  
              200.E-03           200.08E-03   
              210.E-03           210.15E-03   
              220.E-03           220.22E-03   
              230.E-03           230.29E-03   
              240.E-03           240.706E-03  
              250.E-03           251.235E-03  
              260.E-03           261.763E-03  
              270.E-03           272.291E-03  
              280.E-03           282.819E-03  
              290.E-03           293.391E-03  
              300.E-03           304.173E-03  
              310.E-03           316.116E-03  
              320.E-03           328.096E-03  
              330.E-03           340.127E-03  
              340.E-03           352.319E-03  
              350.E-03           364.721E-03  
              360.E-03           377.229E-03  
              370.E-03           389.811E-03  
              380.E-03           402.577E-03  
              390.E-03           415.747E-03  
              400.E-03           428.983E-03  
              410.E-03           442.253E-03  
              420.E-03           455.718E-03  
              430.E-03           469.371E-03  
              440.E-03           483.179E-03  
              450.E-03           497.081E-03  
              460.E-03           511.034E-03  
              470.E-03           525.041E-03  
              480.E-03           539.112E-03  
              490.E-03           553.429E-03  
              500.E-03           568.E-03     
              510.E-03           582.817E-03  
              520.E-03           597.637E-03  
              530.E-03           612.464E-03  
              540.E-03           627.301E-03  
              550.E-03           642.139E-03  
              560.E-03           656.983E-03  
              570.E-03           671.874E-03  
              580.E-03           686.791E-03  
              590.E-03           701.677E-03  
              600.E-03           716.592E-03  
              610.E-03           731.588E-03  
              620.E-03           746.591E-03  
              630.E-03           761.637E-03  
              640.E-03           776.717E-03  
              650.E-03           791.995E-03  
              660.E-03           807.456E-03  




