
                             _RF:RF1 PI: FOUND
                  X            ATION-1 N: 17  

                0.                -0.         
               10.E-03            -2.65167E+03
               20.E-03            -5.30334E+03
               35.E-03            -9.28079E+03
               57.5E-03          -15.2469E+03 
               87.5E-03          -23.2015E+03 
              117.5E-03          -31.1559E+03 
              147.5E-03          -39.11E+03   
              177.5E-03          -47.0637E+03 
              207.5E-03          -55.017E+03  
              237.5E-03          -62.9698E+03 
              267.5E-03          -70.9222E+03 
              297.5E-03          -78.874E+03  
              327.5E-03          -86.8252E+03 
              357.5E-03          -94.7757E+03 
              387.5E-03         -102.726E+03  
              417.5E-03         -110.675E+03  
              447.5E-03         -118.623E+03  
              477.5E-03         -126.57E+03   
              507.5E-03         -134.517E+03  
              537.5E-03         -142.463E+03  
              567.5E-03         -150.407E+03  
              597.5E-03         -158.351E+03  
              627.5E-03         -166.293E+03  
              657.5E-03         -174.234E+03  
              687.5E-03         -182.174E+03  
              717.5E-03         -190.113E+03  
              747.5E-03         -198.051E+03  
              777.5E-03         -205.987E+03  
              807.5E-03         -213.921E+03  
              837.5E-03         -221.855E+03  
              867.5E-03         -229.786E+03  
              897.5E-03         -237.716E+03  
              927.5E-03         -245.645E+03  
              957.5E-03         -253.572E+03  
              987.5E-03         -261.497E+03  
                1.0175          -269.42E+03   
                1.0475          -277.341E+03  
                1.0775          -285.261E+03  
                1.1075          -293.178E+03  
                1.1375          -301.093E+03  
                1.1675          -309.007E+03  
                1.1975          -316.918E+03  
                1.2275          -324.827E+03  
                1.2575          -332.734E+03  
                1.2875          -340.638E+03  
                1.3175          -348.54E+03   
                1.3475          -356.44E+03   
                1.3775          -364.337E+03  
                1.4075          -372.231E+03  
                1.4375          -380.123E+03  
                1.4675          -388.012E+03  
                1.4975          -395.898E+03  
                1.5275          -403.782E+03  
                1.5575          -411.663E+03  
                1.5875          -419.541E+03  
                1.6175          -427.415E+03  
                1.6475          -435.287E+03  
                1.6775          -443.156E+03  
                1.7075          -451.021E+03  
                1.7375          -458.883E+03  
                1.7675          -466.742E+03  
                1.7975          -474.597E+03  
                1.8275          -482.449E+03  
                1.8575          -490.297E+03  
                1.8875          -498.141E+03  
                1.9175          -505.982E+03  
                1.9475          -513.819E+03  
                1.9775          -521.653E+03  
                2.0075          -529.482E+03  
                2.0375          -537.307E+03  
                2.0675          -545.128E+03  
                2.0975          -552.945E+03  
                2.1275          -560.758E+03  
                2.1575          -568.567E+03  
                2.1875          -576.368E+03  
                2.2175          -584.162E+03  
                2.2475          -591.949E+03  
                2.2775          -599.724E+03  
                2.3075          -607.493E+03  
                2.3375          -615.258E+03  
                2.3675          -623.018E+03  
                2.3975          -630.772E+03  
                2.4275          -638.516E+03  
                2.4575          -646.252E+03  
                2.4875          -653.952E+03  
                2.5175          -661.638E+03  
                2.5475          -669.264E+03  
                2.5775          -676.866E+03  
                2.6075          -684.444E+03  
                2.6375          -692.002E+03  
                2.6675          -699.549E+03  
                2.6975          -707.081E+03  
                2.7275          -714.581E+03  
                2.7575          -721.993E+03  
                2.7875          -729.342E+03  
                2.8175          -736.533E+03  
                2.8475          -743.66E+03   
                2.8775          -750.756E+03  
                2.9075          -757.805E+03  
                2.9375          -764.704E+03  
                2.9675          -771.492E+03  
                2.9975          -778.046E+03  
                3.0275          -784.422E+03  
                3.0575          -790.736E+03  
                3.0875          -796.782E+03  
                3.1175          -802.569E+03  
                3.1475          -808.143E+03  
                3.1775          -813.345E+03  
                3.2075          -818.088E+03  
                3.2375          -822.115E+03  
                3.2675          -824.865E+03  
                3.2975          -824.154E+03  
                3.305           -823.202E+03  
                3.31625         -815.224E+03  
                3.31906         -810.515E+03  
                3.32188         -806.942E+03  
                3.32609         -803.442E+03  
                3.33242         -799.183E+03  
                3.34191         -793.46E+03   
                3.35615         -785.864E+03  
                3.37751         -776.203E+03  
                3.40751         -758.89E+03   
                3.41501         -754.165E+03  
                3.42251         -747.524E+03  
                3.43001         -745.749E+03  
                3.43751         -743.974E+03  
                3.44876         -741.309E+03  
                3.46563         -737.308E+03  
                3.49095         -731.298E+03  
                3.52095         -724.164E+03  
                3.55095         -717.016E+03  
                3.58095         -709.856E+03  
                3.61095         -702.682E+03  
                3.64095         -695.497E+03  
                3.67095         -688.298E+03  
                3.70095         -681.088E+03  
                3.73095         -673.865E+03  




